,Name,Type,Score,Rank,Popularity,Members,URL
98,Mannaka no Rikkun@Kin Tele,TV (Continuing),6.08,#12440,#11790,272,https://myanimelist.net/anime/37560/Mannaka_no_RikkunKin_Tele
99,Akita Kenritsu Iburi Gakkou Chuutou-bu,TV (Continuing),4.09,#10855,#12078,244,https://myanimelist.net/anime/35226/Akita_Kenritsu_Iburi_Gakkou_Chuutou-bu
100,Tama & Friends: Uchi no Tama Shirimasenka?,TV (Continuing),6.90,#13611,#12223,232,https://myanimelist.net/anime/32663/Tama___Friends__Uchi_no_Tama_Shirimasenka
101,Panda no Taputapu,TV (Continuing),5.73,#12969,#12328,222,https://myanimelist.net/anime/13463/Panda_no_Taputapu
102,Shimajirou no Wow!,TV (Continuing),5.77,#13314,#12451,214,https://myanimelist.net/anime/18941/Shimajirou_no_Wow
103,Tomodachi 8-nin,TV (Continuing),5.29,#13744,#12455,214,https://myanimelist.net/anime/13457/Tomodachi_8-nin
104,Gohan Kaijuu Pap,TV (Continuing),4.67,#11513,#12484,211,https://myanimelist.net/anime/22669/Gohan_Kaijuu_Pap
105,Kyou mo Tsuno ga Aru,TV (Continuing),7.13,#12297,#12488,211,https://myanimelist.net/anime/39003/Kyou_mo_Tsuno_ga_Aru
106,Mori no Ratio,TV (Continuing),6.15,#12596,#12543,207,https://myanimelist.net/anime/29427/Mori_no_Ratio
107,Straw Byururu,TV (Continuing),5.65,#9072,#12548,207,https://myanimelist.net/anime/29429/Straw_Byururu
108,Pikachin-Kit,TV (Continuing),5.38,#13023,#12567,207,https://myanimelist.net/anime/36552/Pikachin-Kit
109,Aigan Kaijuu,TV (Continuing),4.06,#10846,#12572,206,https://myanimelist.net/anime/38365/Aigan_Kaijuu
110,Yowamushi Monsters,TV (Continuing),5.88,#14047,#12975,182,https://myanimelist.net/anime/30119/Yowamushi_Monsters
111,Panpaka Pants O New-san,TV (Continuing),5.00,#12977,#13098,176,https://myanimelist.net/anime/35112/Panpaka_Pants_O_New-san
112,Eddie the Fast Break,TV (Continuing),5.23,#11327,#13111,174,https://myanimelist.net/anime/29431/Eddie_the_Fast_Break
113,Mr. Shadow,TV (Continuing),5.00,#12615,#13583,151,https://myanimelist.net/anime/39029/Mr_Shadow
114,Robot Pulta,TV (Continuing),5.76,#13152,#13847,139,https://myanimelist.net/anime/29375/Robot_Pulta
